stock,taxa,variable,year,mean,sd,lower,upper,status
Isurus.oxyrinchus,Isurus oxyrinchus,b_div_bmsy,2018,0.807610612351462,0.222796083241165,0.567488822088846,1.1603041929751,fully fished
Acipenser.stellatus,Acipenser stellatus,b_div_bmsy,2006,0.642367626328666,0.222655199715647,0.447190079149236,0.915374608276539,overfished
Anguilla.anguilla,Anguilla anguilla,b_div_bmsy,2018,0.608516079340122,0.200452816678279,0.438610398640142,0.835965954314877,overfished
Etmopterus.spinax,Etmopterus spinax,b_div_bmsy,2018,0.804111769147918,0.220121273822586,0.56062798383565,1.14106921441956,fully fished
Alopias.vulpinus,Alopias vulpinus,b_div_bmsy,2018,0.776989861076701,0.21915283712958,0.547045681830082,1.08618639050629,overfished
Rutilus.spp,Rutilus spp,b_div_bmsy,2018,0.685500894069648,0.20255064653637,0.49121034788403,0.934409378881191,overfished
Invertebrata,Invertebrata,b_div_bmsy,2018,0.787424295435354,0.22143738409187,0.552671303671777,1.11852807415281,overfished
Carassius.auratus,Carassius auratus,b_div_bmsy,2017,0.845676600129197,0.222266834152052,0.589189703242618,1.20273563221009,fully fished
Raja.clavata,Raja clavata,b_div_bmsy,2018,0.864471498307535,0.226479645119603,0.606942679246697,1.23753547820952,fully fished
Auxis.thazard..A..rochei,Auxis thazard A rochei,b_div_bmsy,2018,0.932407960655835,0.20446326900317,0.668362149507055,1.27386559451851,fully fished
Scyllarides.latus,Scyllarides latus,b_div_bmsy,2018,0.900088583308499,0.215008902787431,0.636474544126634,1.26215275412452,fully fished
Thunnus.thynnus,Thunnus thynnus,b_div_bmsy,2018,0.795546264247049,0.192540446502281,0.588815876934085,1.08569848031648,overfished
Brachyura,Brachyura,b_div_bmsy,2018,0.850669395713786,0.217985843529145,0.601029119044834,1.21209967723401,fully fished
Elasmobranchii,Elasmobranchii,b_div_bmsy,2018,0.651598465961135,0.203613302360379,0.472556674124942,0.909884710873574,overfished
Prionace.glauca,Prionace glauca,b_div_bmsy,2018,0.836787824499243,0.21990887475864,0.58852258771246,1.19149008653499,fully fished
Mollusca,Mollusca,b_div_bmsy,2018,0.843054229039898,0.224406425838669,0.593523292617341,1.2055944689821,fully fished
Euthynnus.alletteratus,Euthynnus alletteratus,b_div_bmsy,2018,0.927825850364019,0.211439180284498,0.662775607958832,1.30626974606988,fully fished
Mustelus.spp,Mustelus spp,b_div_bmsy,2018,0.73186568945799,0.204352101966678,0.526862466309022,1.00850596002596,overfished
Rapana.venosa,Rapana venosa,b_div_bmsy,2018,0.785022260523472,0.22048252639543,0.539009059284037,1.10442183342292,overfished
Palinurus.elephas,Palinurus elephas,b_div_bmsy,2018,0.613729026714786,0.229798922311152,0.433504412137087,0.902588048778806,overfished
Spongiidae,Spongiidae,b_div_bmsy,2018,0.748600451617198,0.223098753810236,0.526118050856658,1.07082641993423,overfished
Acipenser.gueldenstaedtii,Acipenser gueldenstaedtii,b_div_bmsy,2009,0.619762389978103,0.229172731697223,0.429919232181387,0.892079927579366,overfished
Mytilus.galloprovincialis,Mytilus galloprovincialis,b_div_bmsy,2018,0.666986929003132,0.202795851786162,0.482770635529889,0.937867094385648,overfished
Squilla.mantis,Squilla mantis,b_div_bmsy,2018,0.973602878032956,0.188225704908799,0.717967118824394,1.29830152426961,fully fished
Xiphias.gladius,Xiphias gladius,b_div_bmsy,2018,1.07482424653521,0.18616958294329,0.796176417550002,1.44727818295801,fully fished
Dasyatidae,Dasyatidae,b_div_bmsy,2018,0.860290538506316,0.221881332510497,0.601435574632594,1.23474102585416,fully fished
Geryon.longipes,Geryon longipes,b_div_bmsy,2018,0.911735432969879,0.217143255748494,0.643382029668656,1.28885812987806,fully fished
Scyliorhinus.spp,Scyliorhinus spp,b_div_bmsy,2018,0.787877160994081,0.220685147799895,0.5574673378723,1.11857483358077,overfished
Crassostrea.gigas,Crassostrea gigas,b_div_bmsy,2000,0.624016566393626,0.218032272493991,0.440996103391657,0.883650958356572,overfished
Osteichthyes,Osteichthyes,b_div_bmsy,2018,0.499938265630914,0.126103919911126,0.410130646348995,0.613791771969016,overfished
Thunnus.alalunga,Thunnus alalunga,b_div_bmsy,2018,0.928058686386531,0.210591078738209,0.658485391006363,1.29056600172178,fully fished
Rhinobatidae,Rhinobatidae,b_div_bmsy,2018,0.840800312570845,0.217652038343475,0.5891972386224,1.18822618427083,fully fished
Scombroidei,Scombroidei,b_div_bmsy,2018,0.707793963017846,0.216295750003007,0.498683446088998,1.01076914806706,overfished
Galeorhinus.galeus,Galeorhinus galeus,b_div_bmsy,2018,0.886033896236352,0.217508412682501,0.627636992620083,1.25993582081393,fully fished
Scyliorhinus.canicula,Scyliorhinus canicula,b_div_bmsy,2018,0.814213027178479,0.231691190042164,0.559711027419943,1.17225922453735,fully fished
Crustacea.1,Crustacea,b_div_bmsy,2018,0.777164876490857,0.219035758805742,0.547737135422855,1.10118380248607,overfished
Hexanchus.griseus,Hexanchus griseus,b_div_bmsy,2018,0.870188921143091,0.22000136031326,0.610131836559817,1.24778420761913,fully fished
Myliobatidae,Myliobatidae,b_div_bmsy,2018,0.762608889605543,0.215722601689285,0.540806815933528,1.07858312195163,overfished
Abramis.brama,Abramis brama,b_div_bmsy,2018,0.659435541631371,0.225777881234489,0.463174809016873,0.955572296550987,overfished
Sarda.sarda,Sarda sarda,b_div_bmsy,2018,0.737985210072962,0.215297460948301,0.518321310623039,1.02794862612056,overfished
Squalidae,Squalidae,b_div_bmsy,2018,0.820654586319301,0.200798373780407,0.612622171644135,1.15245626129587,fully fished
Rajiformes,Rajiformes,b_div_bmsy,2018,0.694282945462552,0.1913818464304,0.514052315916787,0.93671527634309,overfished
Ex.Mollusca,Ex Mollusca,b_div_bmsy,2018,0.706546326205312,0.222784680560828,0.496659990375784,1.00239870114088,overfished
Galeus.melastomus,Galeus melastomus,b_div_bmsy,2018,0.859646883372606,0.222279469426787,0.606658798835034,1.23066035820351,fully fished
Scomberomorus.commerson,Scomberomorus commerson,b_div_bmsy,2018,0.850375725843812,0.208872513664588,0.605788955306009,1.18723467032066,fully fished
Nephrops.norvegicus,Nephrops norvegicus,b_div_bmsy,2018,0.806509251249412,0.171228454507728,0.616383069590609,1.05320175642653,fully fished
